Customer ID,total_sales,total_profit,order_count
AB-10105,143857.709,65852.7459,10
TC-20980,92602.57400000001,43892.25230000001,5
RB-19360,61131.753,28189.032300000003,6
DR-12940,65092.944,26452.7664,8
SC-20095,62679.326,26152.900299999998,9
CM-12385,49438.208,21456.1764,4
TA-21385,66671.696,21264.6011,4
HL-15040,44296.445999999996,18406.3404,6
BS-11365,71586.331,18075.8188,5
HM-14860,51263.6096,15843.2118,10
JK-15205,49129.406,14537.8978,5
SE-20110,54899.518,14506.2145,11
YS-21880,46478.992,13488.7997,8
FH-14365,43334.981999999996,13471.090600000001,8
HW-14935,61663.318,13142.9961,8
MC-17425,29370.074,13090.8937,5
CM-12655,39585.066399999996,11692.0881,6
PK-19075,50903.85,11665.39,12
TB-21400,37283.07,11488.9685,7
AR-10540,26082.312,11449.672799999998,6
